cve,epss,date
CVE-2025-55113,0.00055,2025-11-27
CVE-2025-55729,0.00421,2025-11-27
CVE-2025-55730,0.00421,2025-11-27
CVE-2025-58321,0.00698,2025-11-27
CVE-2025-58384,0.00553,2025-11-27
CVE-2025-59528,0.78435,2025-11-27
CVE-2025-60219,0.00061,2025-11-27
CVE-2025-41243,0.08124,2025-11-30
CVE-2025-42944,0.0002,2025-11-30
CVE-2025-55051,0.00062,2025-11-30
CVE-2025-55113,0.00055,2025-11-30
CVE-2025-55729,0.00421,2025-11-30
CVE-2025-55730,0.00421,2025-11-30
CVE-2025-58321,0.00698,2025-11-30
CVE-2025-58384,0.00553,2025-11-30
CVE-2025-59528,0.78904,2025-11-30
CVE-2025-60219,0.00061,2025-11-30
CVE-2025-41243,0.08124,2025-12-03
CVE-2025-42944,0.00063,2025-12-03
CVE-2025-55051,0.00062,2025-12-03
CVE-2025-55113,0.00055,2025-12-03
CVE-2025-55729,0.00421,2025-12-03
CVE-2025-55730,0.00421,2025-12-03
CVE-2025-58321,0.00698,2025-12-03
CVE-2025-58384,0.00578,2025-12-03
CVE-2025-59528,0.78904,2025-12-03
CVE-2025-60219,0.00064,2025-12-03
CVE-2025-41243,0.08124,2025-12-06
CVE-2025-42944,0.0002,2025-12-06
CVE-2025-55051,0.00062,2025-12-06
CVE-2025-55113,0.00055,2025-12-06
CVE-2025-55729,0.00421,2025-12-06
CVE-2025-55730,0.00421,2025-12-06
CVE-2025-58321,0.00698,2025-12-06
CVE-2025-58384,0.00578,2025-12-06
CVE-2025-59528,0.78904,2025-12-06
CVE-2025-60219,0.00064,2025-12-06
CVE-2025-41243,0.07004,2025-12-09
CVE-2025-42944,0.0002,2025-12-09
CVE-2025-55051,0.00062,2025-12-09
CVE-2025-55113,0.00055,2025-12-09
CVE-2025-55729,0.00421,2025-12-09
CVE-2025-55730,0.00421,2025-12-09
CVE-2025-58321,0.00698,2025-12-09
CVE-2025-58384,0.00578,2025-12-09
CVE-2025-59528,0.78904,2025-12-09
CVE-2025-60219,0.00064,2025-12-09
CVE-2025-41243,0.07004,2025-12-12
CVE-2025-42944,0.0002,2025-12-12
CVE-2025-55051,0.00062,2025-12-12
CVE-2025-55113,0.00055,2025-12-12
CVE-2025-55729,0.00421,2025-12-12
CVE-2025-55730,0.00421,2025-12-12
CVE-2025-58321,0.00698,2025-12-12
CVE-2025-58384,0.00578,2025-12-12
CVE-2025-59528,0.78904,2025-12-12
CVE-2025-60219,0.00064,2025-12-12
CVE-2025-41243,0.07004,2025-12-15
CVE-2025-42944,0.0002,2025-12-15
CVE-2025-55051,0.00062,2025-12-15
CVE-2025-55113,0.00055,2025-12-15
CVE-2025-55729,0.00421,2025-12-15
CVE-2025-55730,0.00421,2025-12-15
CVE-2025-58321,0.00698,2025-12-15
CVE-2025-58384,0.00578,2025-12-15
CVE-2025-59528,0.78904,2025-12-15
CVE-2025-60219,0.00064,2025-12-15
CVE-2025-41243,0.08124,2025-12-18
CVE-2025-42944,0.0002,2025-12-18
CVE-2025-55051,0.00062,2025-12-18
CVE-2025-55113,0.00055,2025-12-18
CVE-2025-55729,0.00421,2025-12-18
CVE-2025-55730,0.00421,2025-12-18
CVE-2025-58321,0.00698,2025-12-18
CVE-2025-58384,0.00578,2025-12-18
CVE-2025-59528,0.81489,2025-12-18
CVE-2025-60219,0.00064,2025-12-18
CVE-2025-41243,0.07004,2025-12-21
CVE-2025-42944,0.0002,2025-12-21
CVE-2025-55051,0.00062,2025-12-21
CVE-2025-55113,0.00055,2025-12-21
CVE-2025-55729,0.00421,2025-12-21
CVE-2025-55730,0.00421,2025-12-21
CVE-2025-58321,0.00698,2025-12-21
CVE-2025-58384,0.00578,2025-12-21
CVE-2025-59528,0.81489,2025-12-21
CVE-2025-60219,0.00064,2025-12-21
CVE-2025-41243,0.07004,2025-12-24
CVE-2025-42944,0.0002,2025-12-24
